Date;Open;Max;Min;Close
24.09.2018;114510;114520;114490;114500
24.09.2018;114490;114560;114480;114530
24.09.2018;114530;114540;114500;114530
24.09.2018;114520;114540;114470;114530
24.09.2018;114520;114530;114500;114520
24.09.2018;114520;114540;114510;114520
24.09.2018;114520;114530;114490;114490
24.09.2018;114500;114520;114490;114490
24.09.2018;114500;114540;114500;114510
24.09.2018;114510;114530;114500;114500
24.09.2018;114500;114540;114500;114520
24.09.2018;114520;114540;114510;114540
24.09.2018;114540;114540;114500;114510
24.09.2018;114510;114530;114500;114530
24.09.2018;114520;114550;114520;114550
24.09.2018;114530;114640;114520;114580
24.09.2018;114590;114630;114580;114590
24.09.2018;114600;114600;114530;114540
24.09.2018;114550;114570;114480;114510
24.09.2018;114510;114550;114510;114520
24.09.2018;114530;114540;114500;114520
24.09.2018;114530;114550;114490;114490
24.09.2018;114490;114520;114480;114490
24.09.2018;114500;114500;114460;114470
24.09.2018;114470;114500;114470;114490
24.09.2018;114490;114530;114480;114520
24.09.2018;114520;114530;114490;114520
24.09.2018;114520;114530;114460;114470
24.09.2018;114460;114470;114420;114430
24.09.2018;114420;114450;114410;114430
24.09.2018;114430;114470;114420;114440
24.09.2018;114430;114450;114420;114440
24.09.2018;114450;114470;114440;114470
24.09.2018;114470;114480;114470;114480
24.09.2018;114480;114490;114430;114430
24.09.2018;114440;114540;114440;114520
24.09.2018;114530;114530;114480;114500
24.09.2018;114510;114520;114490;114510
24.09.2018;114510;114530;114500;114510
24.09.2018;114500;114570;114500;114570
24.09.2018;114570;114630;114560;114590
24.09.2018;114590;114590;114540;114550
24.09.2018;114560;114600;114540;114580
24.09.2018;114590;114600;114560;114600
24.09.2018;114580;114640;114550;114620
24.09.2018;114620;114670;114590;114600
24.09.2018;114610;114610;114550;114590
24.09.2018;114580;114590;114540;114580
24.09.2018;114580;114580;114560;114580
24.09.2018;114580;114620;114580;114600
24.09.2018;114600;114610;114580;114590
24.09.2018;114590;114650;114590;114620
24.09.2018;114610;114640;114610;114630
24.09.2018;114630;114660;114620;114650
24.09.2018;114660;114710;114640;114660
24.09.2018;114670;114700;114660;114680
